99.04.30 15:56 B C:\document\robots\Olympics\1on1\Lycan118.prg --> ftp.cpinternet.com /user/lithis/homepage/jadin/1on1 Lycan118.prg
99.04.30 15:56 B C:\document\robots\Olympics\1on1\MARVIN12.DST --> ftp.cpinternet.com /user/lithis/homepage/jadin/1on1 MARVIN12.DST
99.04.30 15:56 B C:\document\robots\Olympics\1on1\Nimbus.prg --> ftp.cpinternet.com /user/lithis/homepage/jadin/1on1 Nimbus.prg
99.04.30 15:56 B C:\document\robots\Olympics\1on1\RESULTS.TXT --> ftp.cpinternet.com /user/lithis/homepage/jadin/1on1 RESULTS.TXT
99.04.30 15:56 B C:\document\robots\Olympics\1on1\round1.txt --> ftp.cpinternet.com /user/lithis/homepage/jadin/1on1 round1.txt
99.04.30 15:56 B C:\document\robots\Olympics\1on1\round10.txt --> ftp.cpinternet.com /user/lithis/homepage/jadin/1on1 round10.txt
99.04.30 15:56 B C:\document\robots\Olympics\1on1\round2.txt --> ftp.cpinternet.com /user/lithis/homepage/jadin/1on1 round2.txt
99.04.30 15:56 B C:\document\robots\Olympics\1on1\round3.txt --> ftp.cpinternet.com /user/lithis/homepage/jadin/1on1 round3.txt
99.04.30 15:56 B C:\document\robots\Olympics\1on1\round4.txt --> ftp.cpinternet.com /user/lithis/homepage/jadin/1on1 round4.txt
99.04.30 15:56 B C:\document\robots\Olympics\1on1\round5.txt --> ftp.cpinternet.com /user/lithis/homepage/jadin/1on1 round5.txt
99.04.30 15:56 B C:\document\robots\Olympics\1on1\round6.txt --> ftp.cpinternet.com /user/lithis/homepage/jadin/1on1 round6.txt
99.04.30 15:56 B C:\document\robots\Olympics\1on1\round7.txt --> ftp.cpinternet.com /user/lithis/homepage/jadin/1on1 round7.txt
99.04.30 15:56 B C:\document\robots\Olympics\1on1\round8.txt --> ftp.cpinternet.com /user/lithis/homepage/jadin/1on1 round8.txt
99.04.30 15:56 B C:\document\robots\Olympics\1on1\round9.txt --> ftp.cpinternet.com /user/lithis/homepage/jadin/1on1 round9.txt
99.04.30 15:56 B C:\document\robots\Olympics\1on1\SPOT.PRG --> ftp.cpinternet.com /user/lithis/homepage/jadin/1on1 SPOT.PRG
99.04.30 15:56 B C:\document\robots\Olympics\1on1\Whitman1.dst --> ftp.cpinternet.com /user/lithis/homepage/jadin/1on1 Whitman1.dst
99.04.30 15:56 B C:\document\robots\Olympics\1on1\worm-s3a.dst --> ftp.cpinternet.com /user/lithis/homepage/jadin/1on1 worm-s3a.dst
99.04.30 15:56 B C:\document\robots\Olympics\1on1\worm-s4a.prg --> ftp.cpinternet.com /user/lithis/homepage/jadin/1on1 worm-s4a.prg
